Designator,Mid X,Mid Y,Rotation,Layer
C1,285.25,-96.25,0.0,top
C2,285.25,-93.25,0.0,top
C3,298.25,-127.5,270.0,top
C4,326.0,-127.5,270.0,top
C5,352.25,-127.5,270.0,top
C6,320.75,-108.0,180.0,top
C7,308.250064,-115.5,0.0,top
D1,321.75,-84.25,180.0,top
D3,290.0,-106.25,270.0,top
D4,284.5,-106.25,270.0,top
NX1,243.315573,-234.860797,180.0,top
NX2,264.315573,-234.860797,180.0,top
R1,166.734341,-212.592378,90.0,top
R10,166.734341,-207.092378,90.0,top
R11,139.75,-218.0,90.0,top
R12,139.75,-223.5,90.0,top
R13,139.5,-212.5,90.0,top
R14,139.75,-229.0,90.0,top
R15,139.75,-234.25,90.0,top
R16,139.75,-239.75,90.0,top
R17,139.25,-190.75,90.0,top
R18,139.25,-196.25,90.0,top
R19,139.5,-201.75,90.0,top
R2,166.734341,-217.842378,90.0,top
R20,139.5,-207.25,90.0,top
R21,306.5,-100.0,180.0,top
R3,166.734341,-223.342378,90.0,top
R4,166.734341,-228.842378,90.0,top
R5,166.984341,-234.342378,90.0,top
R6,166.984341,-239.842378,90.0,top
R7,167.234341,-190.592378,90.0,top
R8,166.734341,-196.342378,90.0,top
R9,166.734341,-201.592378,90.0,top
U1,298.75,-79.25,180.0,top
U10,174.734341,-212.513158,180.0,top
U11,174.734341,-228.855263,180.0,top
U12,174.984341,-234.302631,180.0,top
U13,175.0,-239.75,180.0,top
U14,174.5,-190.723684,180.0,top
U15,174.734341,-196.171052,180.0,top
U16,174.734341,-201.618421,180.0,top
U17,174.734341,-207.065789,180.0,top
U18,147.734341,-218.010503,180.0,top
U19,147.734341,-223.445377,180.0,top
U2,302.0,-59.75,0.0,top
U20,147.484341,-212.575628,180.0,top
U21,147.749975,-228.880251,180.0,top
U22,147.734341,-234.315126,180.0,top
U23,147.75,-239.75,180.0,top
U24,147.234341,-190.836131,180.0,top
U25,147.234341,-196.271005,180.0,top
U26,147.358725,-201.70588,180.0,top
U27,147.359932,-207.140754,180.0,top
U3,343.450051,-90.25,270.0,top
U4,336.96,-70.55,0.0,top
U5,291.25,-127.5,90.0,top
U6,319.0,-127.5,90.0,top
U7,345.75,-127.5,90.0,top
U8,174.734341,-217.960526,180.0,top
U9,174.734341,-223.407895,180.0,top
